"","logFC","logCPM","LR","PValue","FDR","diffexpressed","SYMBOL","delabel"
"hsa-let-7c",-1.32683388357598,11.3709090723458,90.6600128843466,1.7060649906124e-21,9.58808524724171e-20,"DOWN","hsa-let-7c","hsa-let-7c"
"hsa-mir-101-1",-1.30468665014463,13.4792686892695,159.046260034757,1.82823833177513e-36,5.03407305507318e-34,"DOWN","hsa-mir-101-1","hsa-mir-101-1"
"hsa-mir-101-2",-1.30190995833361,13.4947226661409,158.724234790418,2.14978208757573e-36,5.03407305507318e-34,"DOWN","hsa-mir-101-2","hsa-mir-101-2"
"hsa-mir-105-1",8.78229461991511,4.55465281370495,58.4963338725109,2.03670112903169e-14,4.85011031574496e-13,"UP","hsa-mir-105-1","hsa-mir-105-1"
"hsa-mir-105-2",8.86984555007462,4.54901322481812,58.6106271883634,1.9217564268432e-14,4.65528927537016e-13,"UP","hsa-mir-105-2","hsa-mir-105-2"
"hsa-mir-10a",-1.05520444775614,13.9655105687435,50.134041034847,1.43594222340058e-12,2.6546037156287e-11,"DOWN","hsa-mir-10a","hsa-mir-10a"
"hsa-mir-10b",3.37974371732522,14.207200072174,127.842712343045,1.2150012198396e-29,1.89675190430515e-27,"UP","hsa-mir-10b","hsa-mir-10b"
"hsa-mir-1180",1.61754917037101,4.69936552118233,62.2466340857267,3.03026435632122e-15,8.51504284126264e-14,"UP","hsa-mir-1180","hsa-mir-1180"
"hsa-mir-1224",2.00333338660071,0.29408686054082,15.8445212667917,6.87653401608798e-05,0.000311662267503342,"UP","hsa-mir-1224","hsa-mir-1224"
"hsa-mir-1226",1.62681602515976,0.966788551258834,35.1471882666737,3.05702480015265e-09,3.43609587537157e-08,"UP","hsa-mir-1226","hsa-mir-1226"
"hsa-mir-1229",1.28333874890626,0.20785978756626,23.8623184239748,1.03477575112556e-06,7.41765270577248e-06,"UP","hsa-mir-1229","hsa-mir-1229"
"hsa-mir-1251",5.09567718526062,1.32505066160042,50.4613196568802,1.21536762416268e-12,2.30755609722779e-11,"UP","hsa-mir-1251","hsa-mir-1251"
"hsa-mir-1254-1",2.19732282883067,-0.602951460750337,43.0847730453123,5.24186342438316e-11,7.59259599098798e-10,"UP","hsa-mir-1254-1","hsa-mir-1254-1"
"hsa-mir-1254-2",1.52837351905062,-0.636290109842617,21.5638422092105,3.42243568235289e-06,2.11829168885718e-05,"UP","hsa-mir-1254-2","hsa-mir-1254-2"
"hsa-mir-1258",-3.51152436323586,1.74648417279006,153.045274118525,3.74436626064441e-35,7.51547799457913e-33,"DOWN","hsa-mir-1258","hsa-mir-1258"
"hsa-mir-125b-1",-1.07500483484389,8.33920889460044,79.2491727718365,5.47502807263284e-19,2.26247483589681e-17,"DOWN","hsa-mir-125b-1","hsa-mir-125b-1"
"hsa-mir-125b-2",-1.08509717174448,8.46193818162929,81.1745048640682,2.06640711869532e-19,9.07281875552163e-18,"DOWN","hsa-mir-125b-2","hsa-mir-125b-2"
"hsa-mir-1266",1.82660099978368,2.98011504322737,58.6178210094112,1.91474265903323e-14,4.65528927537016e-13,"UP","hsa-mir-1266","hsa-mir-1266"
"hsa-mir-1269a",5.55359236092694,9.27181742781198,78.0026290375146,1.02903502225048e-18,4.01609501739425e-17,"UP","hsa-mir-1269a","hsa-mir-1269a"
"hsa-mir-1269b",6.29442310654239,6.66782358239137,47.1710638724154,6.50537713514418e-12,1.07530057351501e-10,"UP","hsa-mir-1269b","hsa-mir-1269b"
"hsa-mir-1270",2.10564009177741,1.46732891485027,38.7822916491105,4.73806764674181e-10,5.9606698904132e-09,"UP","hsa-mir-1270","hsa-mir-1270"
"hsa-mir-1275",-1.08171389528749,-0.435683319679375,25.5626078563472,4.28258537475142e-07,3.34279580640319e-06,"DOWN","hsa-mir-1275","hsa-mir-1275"
"hsa-mir-1276",1.49493344956626,-0.409432025801923,24.2904964443117,8.28468085087078e-07,6.09422858401751e-06,"UP","hsa-mir-1276","hsa-mir-1276"
"hsa-mir-1283-1",4.70241980419092,0.226521028256756,11.6970551458749,0.000625990910376662,0.00238351552595992,"UP","hsa-mir-1283-1","hsa-mir-1283-1"
"hsa-mir-1283-2",4.7369594515921,0.649747054403292,11.534922000131,0.000683009431475657,0.00257272989604101,"UP","hsa-mir-1283-2","hsa-mir-1283-2"
"hsa-mir-1292",1.13103606848879,-0.0935026140774651,24.7241453852631,6.6150235763345e-07,4.99683232513439e-06,"UP","hsa-mir-1292","hsa-mir-1292"
"hsa-mir-1293",3.50041287624555,-0.621119491675866,25.2280146793113,5.09369054592995e-07,3.88947566143021e-06,"UP","hsa-mir-1293","hsa-mir-1293"
"hsa-mir-1295a",2.02691840416028,1.52852657001562,22.9896637405205,1.62874760828414e-06,1.11086912118409e-05,"UP","hsa-mir-1295a","hsa-mir-1295a"
"hsa-mir-1301",1.20663928267178,3.62737909283972,44.0979408885452,3.12349343971509e-11,4.75256338907753e-10,"UP","hsa-mir-1301","hsa-mir-1301"
"hsa-mir-130a",-1.18080544301012,6.10922889635588,78.921765702462,6.46188830875337e-19,2.59398659251385e-17,"DOWN","hsa-mir-130a","hsa-mir-130a"
"hsa-mir-1323",6.19805822472281,2.76756576362535,22.9035444477944,1.70337464674599e-06,1.1514532383475e-05,"UP","hsa-mir-1323","hsa-mir-1323"
"hsa-mir-133b",-1.14626103621582,-0.223333992555577,19.2533947825752,1.14466657824949e-05,6.28225211890834e-05,"DOWN","hsa-mir-133b","hsa-mir-133b"
"hsa-mir-135a-1",3.13553577429026,1.79315283807765,44.0839960766485,3.14582487675594e-11,4.75256338907753e-10,"UP","hsa-mir-135a-1","hsa-mir-135a-1"
"hsa-mir-135a-2",3.80529443512512,2.00940494092029,52.632040161999,4.02272739748124e-13,8.43571939322559e-12,"UP","hsa-mir-135a-2","hsa-mir-135a-2"
"hsa-mir-135b",1.5948143388296,1.98491232556406,11.1983689015478,0.000818692644826019,0.00298769653501443,"UP","hsa-mir-135b","hsa-mir-135b"
"hsa-mir-137",4.08312014525577,0.66007701519049,22.8934237719514,1.71236701480793e-06,1.1514532383475e-05,"UP","hsa-mir-137","hsa-mir-137"
"hsa-mir-139",-1.75784857048731,7.51151634672451,162.499316266274,3.21812890991269e-37,2.26073555921366e-34,"DOWN","hsa-mir-139","hsa-mir-139"
"hsa-mir-141",2.32552216255744,6.00700437041744,23.0390076824059,1.58747544654531e-06,1.09333480509616e-05,"UP","hsa-mir-141","hsa-mir-141"
"hsa-mir-145",-1.08178175559249,10.2997965436461,52.546296043753,4.20224542053354e-13,8.68258061154355e-12,"DOWN","hsa-mir-145","hsa-mir-145"
"hsa-mir-147b",1.49716721060761,-0.11439958237873,16.7204491248929,4.33116270710986e-05,0.000206982435492835,"UP","hsa-mir-147b","hsa-mir-147b"
"hsa-mir-182",3.16361743793896,13.2046797748341,85.7780969897469,2.01303570256302e-20,1.01011255789323e-18,"UP","hsa-mir-182","hsa-mir-182"
"hsa-mir-183",3.70101559494713,11.8484763006258,96.5194879496985,8.83697222878912e-23,6.5347084112888e-21,"UP","hsa-mir-183","hsa-mir-183"
"hsa-mir-184",4.67112189417719,4.30384130862108,48.6673428425285,3.0327456916839e-12,5.39368062888086e-11,"UP","hsa-mir-184","hsa-mir-184"
"hsa-mir-18a",1.58072590908477,4.74568187961083,45.015523591225,1.95478666342339e-11,3.08592726079759e-10,"UP","hsa-mir-18a","hsa-mir-18a"
"hsa-mir-190b",2.85225572355123,0.688657494181276,55.9958718367168,7.26233490393551e-14,1.61961595873482e-12,"UP","hsa-mir-190b","hsa-mir-190b"
"hsa-mir-1915",1.63779502470012,-0.747987477027247,15.0535294125006,0.000104504656270826,0.000455990813852515,"UP","hsa-mir-1915","hsa-mir-1915"
"hsa-mir-195",-1.41140281681904,5.32650933608278,97.7248545853843,4.80749984777242e-23,3.97325722712956e-21,"DOWN","hsa-mir-195","hsa-mir-195"
"hsa-mir-196a-1",4.41430242823852,3.16918232308645,33.3456563339265,7.7149945077915e-09,7.97027006135813e-08,"UP","hsa-mir-196a-1","hsa-mir-196a-1"
"hsa-mir-196a-2",4.50361947451726,3.31284308726413,33.350092577621,7.6974155733332e-09,7.97027006135813e-08,"UP","hsa-mir-196a-2","hsa-mir-196a-2"
"hsa-mir-196b",3.12016965270425,6.35078289084393,56.2063423977243,6.52507129420215e-14,1.50290576530394e-12,"UP","hsa-mir-196b","hsa-mir-196b"
"hsa-mir-199a-1",-1.24545055351249,9.51927107458135,37.675301555046,8.35558296809978e-10,9.70214385965305e-09,"DOWN","hsa-mir-199a-1","hsa-mir-199a-1"
"hsa-mir-199a-2",-1.31980229591976,10.1391746074023,43.9926526142973,3.29610828378021e-11,4.87477067232758e-10,"DOWN","hsa-mir-199a-2","hsa-mir-199a-2"
"hsa-mir-199b",-1.41966486354908,10.2314621104294,52.8519313586328,3.59664830212789e-13,7.65650130983287e-12,"DOWN","hsa-mir-199b","hsa-mir-199b"
"hsa-mir-19a",1.41315971521269,6.05530209239806,45.9853015249992,1.19143545879707e-11,1.90223502228396e-10,"UP","hsa-mir-19a","hsa-mir-19a"
"hsa-mir-200c",2.80497391921204,8.70180954894912,33.2773653473987,7.99073213723759e-09,8.19487492906483e-08,"UP","hsa-mir-200c","hsa-mir-200c"
"hsa-mir-203b",3.66030031514037,2.37070321941498,18.1558816048011,2.03539818465026e-05,0.000106377097514455,"UP","hsa-mir-203b","hsa-mir-203b"
"hsa-mir-205",3.95013199405555,3.25048907884305,20.3569008815362,6.42609213087437e-06,3.79355438818424e-05,"UP","hsa-mir-205","hsa-mir-205"
"hsa-mir-206",1.50214742790055,0.242259366836335,9.42429815574542,0.00214129035613366,0.00704569777603698,"UP","hsa-mir-206","hsa-mir-206"
"hsa-mir-20a",1.10786875621929,9.5704066813964,39.3552059376816,3.53309646415787e-10,4.59629678902020e-09,"UP","hsa-mir-20a","hsa-mir-20a"
"hsa-mir-20b",1.31624649116582,4.46458837951743,24.189626239552,8.73012548481619e-07,6.35535041770298e-06,"UP","hsa-mir-20b","hsa-mir-20b"
"hsa-mir-21",1.5243676523268,17.7680309250839,161.118720384622,6.4450540899624e-37,3.01843366546572e-34,"UP","hsa-mir-21","hsa-mir-21"
"hsa-mir-2114",2.82637274929189,1.81090822746304,38.8291142127655,4.62576846251684e-10,5.90836789985105e-09,"UP","hsa-mir-2114","hsa-mir-2114"
"hsa-mir-214",-1.20288414320745,4.16774605429355,33.745070221626,6.28280567007537e-09,6.7384289820274e-08,"DOWN","hsa-mir-214","hsa-mir-214"
"hsa-mir-216a",3.41176032480666,5.78011244016788,40.5425957568683,1.92376146964015e-10,2.57417606175658e-09,"UP","hsa-mir-216a","hsa-mir-216a"
"hsa-mir-216b",3.84150721084833,5.86977486996519,42.0251723705794,9.01059894514249e-11,1.27877692100255e-09,"UP","hsa-mir-216b","hsa-mir-216b"
"hsa-mir-217",3.98620132983944,11.444213371586,56.1106246326934,6.85059164151849e-14,1.55243246069895e-12,"UP","hsa-mir-217","hsa-mir-217"
"hsa-mir-219b",1.34854886979483,-0.0171273121476344,33.6370841763149,6.64143996588091e-09,7.06910844853234e-08,"UP","hsa-mir-219b","hsa-mir-219b"
"hsa-mir-221",1.33387433293711,7.09193386177403,66.2321255414769,4.00826159956227e-16,1.34085893985357e-14,"UP","hsa-mir-221","hsa-mir-221"
